id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,value_season,bonus,starts_per_90,cost_change_start,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,ep_next,event_points,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank,total_points
736,Odeluga Offiah,40,DEF,Brighton,0,206,0.08,0.02,551,0,0,171,963,0,0.2,0,0,0,1.77,0,6.93,0,0,231,6.2,0,0,0,1.5,513,0,476,0,0,a,202,0,0,3,0.08,0,171,177,,496,,0.8,0,0,0.02,,0,0.5,23,482,634,0,549,0,1672,10,11.74,0,176,186,0,683,1
756,Tom McGill,40,GKP,Brighton,0,40,0,0,601,0,0,49,341,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,588,0,569,0,0,a,45,0,0,0,0,0,58,66,,584,,0,0,0,0,,0,0,0,466,715,0,534,0,698,0,0,0,66,66,0,666,0
762,Cameron Peupion,45,MID,Brighton,0,220,0,0,503,0,0,241,35,0,0.2,0,0,0,0.95,0,17.1,0,5,326,0,0,0.1,0,0.3,522,0,497,0.06,0,a,241,0,0,2,1.08,0,189,235,,712,,0.5,0.1,0,0.06,,0,1,5,405,763,1.08,454,0.1,127,3,36,0,290,226,0,426,1
765,Imari Samuels,40,DEF,Brighton,0,207,0,0,617,0,0,213,29,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,603,0,584,0,0,i,203,0,0,0,0,0,172,215,0,599,,0,0,0,0,0,0,0,0,485,760,0,552,0,129,0,0,0,216,217,0,686,0
48,Carney Chukwuemeka,42,MID,Chelsea,0.26,157,0.16,0.61,445,0,0,173,113634,0.2,4.3,0,0.53,-3,8.1,3,2.13,0,72,107,57.6,0,0.1,1,69.7,406,0,333,0.33,0,a,330,0,0,7,0.25,0,150,180,100,427,,19.9,0.7,1,0.94,100,2,1.3,342,314,312,0.09,313,0.2,75657,71,1.84,0.3,184,195,1,624,18
112,Marc Cucurella Saseta,49,DEF,Chelsea,0.32,103,0.05,0.96,198,0,0,33,2714280,0,13.3,1,1.13,-1,26.03,1,1.4,0,72,26,354.4,0,-0.1,0,232.5,227,0,152,0.38,0,d,31,0,4,20,0.07,2,253,68,25,197,,65.9,0,0,1.34,25,21,2.7,1669,726,77,0.02,315,-0.1,2311987,363,1.08,5,77,70,6,237,65
127,César Azpilicueta,47,DEF,Chelsea,0.18,82,0.07,1.25,358,0,0,41,352360,0.2,9.6,4,0.95,-3,27.38,3,1.62,0,93,61,259.2,0,0.3,2,206.7,259,0,176,0.35,1,a,45,0,3,21,0.09,0,93,85,100,261,,55.8,1,1,1.6,100,16,1.8,1521,281,177,0.02,281,0.5,265047,242,1.24,1.2,102,129,3,293,45
128,Thiago Emiliano da Silva,54,DEF,Chelsea,0.23,50,0.04,1.04,158,0,0,100,1397271,0.2,14.8,8,1,-1,34.83,1,1.33,0,137,23,657.2,0,0.5,2,86.1,152,0,311,1.54,0,a,13,0,2,32,0.1,2,84,32,100,56,,88,1.2,0,2.58,100,26,3,2351,256,69,0.06,229,0.7,1208815,524,1.23,5.7,14,50,6,117,80
129,Marcos Alonso,53,DEF,Chelsea,0,262,0,0,768,0,0,262,252668,0,0,0,0,-2,0,2,0,0,0,81,0,0,0,0,0,767,0,765,0,0,u,15,0,0,0,0,0,258,262,0,766,,0,0,0,0,0,0,0,0,749,235,0,763,0,8779,0,0,0.7,262,262,0,134,0
131,Ross Barkley,49,MID,Chelsea,0,323,0,0,758,0,0,326,6986,0,0,0,0,-1,0,1,0,0,0,238,0,0,0,0,0,756,0,754,0,0,u,127,0,0,0,0,0,305,325,0,755,,0,0,0,0,0,0,0,0,722,601,0,747,0,1910,0,0,0,325,327,0,226,0
132,Mateo Kovacic,49,MID,Chelsea,0.21,134,0.11,2.04,327,1,0,72,134485,0.2,10.8,2,0.9,-1,24,1,1.27,0,114,110,294.2,0,0.2,1,363.8,185,0,97,1.79,0,d,129,0,8,25,0.2,2,130,100,50,229,,77.5,1,0,3.83,50,17,2,1699,283,324,0.09,253,0.2,78298,289,1.32,0.3,98,128,4,228,53
133,Kepa Arrizabalaga,45,GKP,Chelsea,0.32,72,0,0,45,0,0,12,1341981,0.4,26.2,15,1.02,0,38.34,0,1.35,0,0,10,706.2,0,1.3,3,0.1,216,3.19,510,0,0,a,18,91,1,33,0,0,16,13,100,43,,70.6,2,2,0,100,29,4.1,2565,161,61,0,653,1.5,1984646,575,1.16,6.4,13,10,9,355,118
134,N'Golo Kanté,48,MID,Chelsea,0.35,166,0.14,0.82,211,0,0,114,409065,0.3,3.8,1,1.04,-2,5.23,2,0.91,0,58,63,107,0,0.2,0,186.9,339,0,182,0.32,0,d,160,0,1,7,0.2,1,115,151,25,375,,35.2,1.2,0,1.13,25,6,2.6,517,251,186,0.06,333,0.2,101591,120,1.22,1.1,157,81,2,269,18
135,Hakim Ziyech,55,MID,Chelsea,0.28,137,0.21,1.51,368,0,0,102,103056,0.3,6,0,0.83,-5,8.8,5,1.22,0,113,97,155.4,0,1.5,0,230.9,278,0,153,0.65,0,a,56,0,1,7,0.3,3,97,124,100,335,4,49,1.7,0,2.16,100,6,1.8,649,208,291,0.09,260,1.2,68588,129,0.97,0.4,136,156,2,107,33
136,Ruben Loftus-Cheek,50,MID,Chelsea,0.29,117,0.1,1.75,363,0,0,101,40719,0.3,9.2,1,1.12,0,27.57,0,1.62,0,173,153,206.6,0,1.1,1,234.8,243,0,149,0.85,1,a,107,0,1,23,0.15,1,107,114,100,300,,61.6,1.5,0,2.6,100,19,1.8,1530,227,425,0.05,197,1,35772,228,1.35,0.1,124,153,5,189,46
137,Timo Werner,79,FWD,Chelsea,0,93,0,0,778,0,0,93,53548,0,0,0,0,-1,0,1,0,0,0,58,0,0,0,0,0,778,0,778,0,0,u,11,0,0,0,0,0,92,93,0,778,,0,0,0,0,0,0,0,0,776,384,0,778,0,2202,0,0,0.2,93,93,0,19,0
138,Robert Kenedy Nunes do Nascimento,39,DEF,Chelsea,0,182,0,0,570,0,0,192,53915,0,0,0,0,-1,0,1,0,0,0,135,0,0,0,0,0,556,0,534,0,0,u,240,0,0,0,0,0,146,194,0,552,,0,0,0,0,0,0,0,0,434,361,0,497,0,27068,0,0,0.2,195,195,0,738,0
139,Ben Chilwell,56,DEF,Chelsea,0.26,33,0.16,2.49,160,2,0,14,1919463,0.1,12.5,4,0.96,-4,18.25,4,1.17,0,178,38,283.4,0,0,0,382.6,165,0,89,1.57,0,d,11,0,3,19,0.26,3,106,39,25,239,,84.2,0.5,1,4.06,25,15,3,1402,343,110,0.1,194,0,1795089,302,1.22,3.1,91,51,4,93,70
140,Christian Pulisic,56,MID,Chelsea,0.34,104,0.04,0.38,401,1,0,127,160783,0.1,7,0,0.89,-4,14.13,4,1.58,0,210,94,117.2,0,-0.1,1,166.7,277,0,204,1.67,0,a,49,0,1,11,0.23,1,163,123,100,365,,49.1,0.5,0,2.05,100,8,1.6,805,344,281,0.19,173,0,109347,102,1.23,0.4,150,173,3,94,39
141,Trevoh Chalobah,44,DEF,Chelsea,0.28,75,0.02,0.32,317,0,0,93,186691,0.3,11.1,1,1.01,-6,30.99,6,1.74,0,108,87,283.6,0,0.9,1,93.5,282,0,301,0.82,1,a,104,0,4,24,0.07,0,78,97,100,238,,48.7,1.3,0,1.14,100,18,2,1601,240,247,0.05,268,0.8,175599,318,1.35,0.6,90,118,5,496,49
142,Mason Mount,72,MID,Chelsea,0.44,61,0.15,2.81,119,3,0,55,2792751,0,11.4,8,1.09,-8,23.53,8,1.29,0,376,31,331.4,0,-0.2,0,463.1,99,0,66,1.97,0,d,18,0,4,21,0.26,4,338,69,50,207,3,117.2,0,2,4.78,50,20,3.4,1644,775,97,0.11,97,-0.2,2177297,277,1.15,3.4,86,51,8,34,82
143,Malang Sarr,50,DEF,Chelsea,0,261,0,0,765,0,0,261,11884,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,764,0,762,0,0,u,27,0,0,0,0,0,257,261,0,763,,0,0,0,0,0,0,0,0,737,577,0,757,0,289,0,0,0,261,261,0,202,0
144,Callum Hudson-Odoi,53,MID,Chelsea,0,335,0,0,770,0,0,335,10408,0,0,0,0,-2,0,2,0,0,0,230,0,0,0,0,0,770,0,768,0,0,u,80,0,0,0,0,0,329,335,0,769,,0,0,0,0,0,0,0,0,755,579,0,766,0,1884,0,0,0,335,335,0,148,0
145,Kai Havertz,74,FWD,Chelsea,0.32,10,0.1,2.75,178,7,0,3,1755945,0.2,13.8,13,1.05,-6,38.25,6,1.34,0,1012,16,470.2,0,0.9,1,513.3,29,0,55,11.58,0,a,13,0,5,31,0.51,1,31,8,100,129,1,199.3,1.3,1,14.33,100,30,2.9,2565,243,104,0.41,15,0.8,1575452,301,1.09,3.2,13,24,9,28,102
146,Reece James,58,DEF,Chelsea,0.14,40,0.21,2.93,189,1,0,17,7263967,0,7.6,5,1.01,-2,14.11,2,1.02,0,153,15,292.2,0,0,0,358.2,175,0,98,1.06,0,i,8,0,4,17,0.29,2,259,43,0,230,2,80.4,0,0,3.99,0,14,2.8,1242,768,43,0.08,214,0,4234493,286,1.23,10.7,85,66,2,79,44
147,Edouard Mendy,48,GKP,Chelsea,0.11,76,0,0,244,0,0,81,2234052,0,5,0,0.95,-2,14.24,2,1.5,0,0,13,200.4,0,-0.3,0,0,405,2.63,751,0,0,a,12,25,1,14,0,0,28,26,100,306,,20.2,0.2,1,0,100,9,2.4,855,395,68,0,744,-0.3,698390,132,1.47,5.8,26,32,1,285,24
148,Conor Gallagher,56,MID,Chelsea,0.22,72,0.1,1.73,346,3,0,78,217511,0.5,11.8,7,1.01,-4,30.95,4,1.73,1,321,74,379.8,0,2.5,2,343.5,117,0,104,2.55,0,a,52,0,9,23,0.24,1,54,75,100,181,,104.3,2.8,0,4.28,100,18,1.9,1608,114,227,0.14,113,2.3,117548,279,1.29,0.7,74,144,4,99,66
150,Armando Broja,52,FWD,Chelsea,0.32,53,0.02,0.06,365,1,0,59,183899,0,4,0,0.63,-3,4.49,3,1.42,0,113,51,64.6,0,0,0,18.2,407,0,421,0.84,0,i,52,0,0,5,0.29,1,84,53,0,420,,19.7,0,0,0.9,0,2,1.8,285,748,316,0.27,259,0,75379,56,1.58,0.3,50,46,1,165,21
151,Ethan Ampadu,44,DEF,Chelsea,0,246,0,0,667,0,0,248,8160,0,0,0,0,-1,0,1,0,0,0,206,0,0,0,0,0,655,0,645,0,0,u,108,0,0,0,0,0,234,249,0,650,,0,0,0,0,0,0,0,0,586,563,0,625,0,1467,0,0,0,249,249,0,501,0
272,Wesley Fofana,43,DEF,Chelsea,0.13,90,0.02,0.29,271,1,0,120,490318,0.2,8.6,4,0.93,-2,22.96,2,1.52,0,86,68,289.2,0,0.1,1,59,306,0,356,0.74,0,a,150,0,4,24,0.07,0,100,104,100,232,,43.8,0.7,1,1.03,100,14,2.2,1362,315,194,0.05,292,0.2,405290,244,1.59,1,87,98,2,578,37
304,Raheem Sterling,97,MID,Chelsea,0.24,26,0.15,3.22,98,6,0,51,1817823,0.5,10.4,9,1.1,-3,27.83,3,1.33,0,603,30,388.2,0,2,5,479.8,69,0,62,6.21,0,d,4,0,4,27,0.45,4,17,49,50,172,,146.8,4.7,2,9.43,50,23,3.6,1886,32,96,0.3,42,2.1,1432352,274,1.29,3.4,71,43,5,7,101
520,Kalidou Koulibaly,55,DEF,Chelsea,0.3,49,0.02,0.43,137,2,0,84,1787611,0,13.5,8,1,0,22.43,0,1.12,1,141,25,497.4,0,-0.3,0,104.1,200,0,282,0.88,0,a,12,0,5,22,0.06,1,131,56,100,114,,74.5,0.2,0,1.31,100,20,3.2,1798,401,72,0.04,226,-0.3,1136459,408,1.1,5.4,38,40,6,105,74
606,Harvey Vale,45,MID,Chelsea,0,288,0,0,726,0,0,295,274,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,716,0,711,0,0,u,242,0,0,0,0,0,259,293,0,713,,0,0,0,0,0,0,0,0,664,757,0,698,0,241,0,0,0,291,303,0,427,0
616,Denis Zakaria,49,MID,Chelsea,0.44,200,0.01,0.05,341,0,0,208,9099,0,2.7,0,1.1,-1,6.69,1,1.47,0,24,221,44.6,0,-0.5,0,22.6,452,0,413,0.19,0,a,141,0,0,5,0.05,0,310,207,100,445,,9.2,0,0,0.24,100,5,1.9,409,728,558,0.04,412,-0.5,9726,47,1.1,0,196,139,2,243,13
617,Pierre-Emerick Aubameyang,84,FWD,Chelsea,0.16,47,0.03,0.18,385,1,0,51,557360,0,3,3,0.82,-6,8.66,6,1.43,0,177,41,55,0,-0.3,0,59.4,370,0,355,1.53,0,a,7,0,1,8,0.28,0,57,51,100,431,,28.5,0.2,0,1.71,100,5,1.7,546,403,232,0.25,195,-0.3,578472,61,1.32,0.7,53,49,1,12,25
635,Marcus Bettinelli,40,GKP,Chelsea,0,35,0,0,591,0,0,44,3770,0,0,0,0,0,0,0,0,0,0,64,0,0,-0.1,0,0,578,0,559,0,0,d,40,0,0,0,0,0,53,61,25,574,,0,0,0,0,25,0,0,0,456,600,0,524,-0.1,4627,0,0,0,61,61,0,655,0
653,Omari Hutchinson,42,MID,Chelsea,0,224,0.08,0.02,482,0,0,227,1561,0,0.2,0,0,-3,0.63,3,2.58,0,4,278,1,0,-0.5,0,1.8,516,0,472,0,0,a,332,0,0,0,0.08,0,202,233,,523,,0.7,0,0,0.02,,0,1,22,549,691,0,460,-0.5,1899,2,0,0,237,213,0,626,1
661,Lewis Hall,43,MID,Chelsea,0.14,133,0.2,1.46,289,0,0,125,4242,0.4,4.4,3,1.1,-2,13.29,2,1.83,0,119,220,113.2,0,1.3,2,174.3,321,0,200,0.83,0,a,311,0,1,11,0.31,0,82,145,,371,,40.7,1.8,0,2.29,,8,2.1,653,182,556,0.11,248,1.3,7776,118,1.52,0,153,114,1,580,19
673,Bashir Humphreys,45,DEF,Chelsea,0,256,0,0,711,0,0,257,429,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,700,0,695,0,0,u,83,0,0,0,0,0,248,257,0,696,,0,0,0,0,0,0,0,0,646,737,0,679,0,345,0,0,0,257,257,0,402,0
684,David Datro Fofana,50,FWD,Chelsea,0,62,0.05,0.04,528,0,0,55,17862,0,0.6,0,1.32,0,1.72,0,2.28,0,30,68,15.2,0,-0.3,0,34.6,456,0,393,0.57,0,a,59,0,0,1,0.8,0,54,59,,477,,8,0.2,0,0.61,,1,1,68,398,465,0.75,394,-0.3,22442,8,1.32,0.1,59,67,0,218,3
689,Benoît Badiashile,50,DEF,Chelsea,0.4,96,0.02,0.2,91,1,0,128,165341,0.3,8,2,1,0,12.31,0,1.23,0,81,106,219.8,0,0.3,0,49.1,340,0,371,1.26,0,d,29,0,2,9,0.15,0,79,118,25,291,,35.1,1.3,0,1.46,25,10,3.6,904,242,290,0.13,304,0.2,203481,209,0.9,0.4,116,22,4,207,40
690,João Félix Sequeira,71,FWD,Chelsea,0.19,38,0.1,0.99,193,4,0,35,752888,0.3,6.2,7,1.06,-4,14.18,4,1.36,1,287,26,203.6,0,2.1,1,135.2,242,0,240,4.62,0,a,18,0,1,16,0.54,0,21,38,100,303,,61.9,2.3,0,5.6,100,11,2.8,936,140,149,0.44,126,1.8,910337,126,1.54,1.7,34,26,2,40,44
699,Mykhailo Mudryk,64,MID,Chelsea,0,129,0.17,1.26,384,0,0,137,497936,0.1,3.9,0,0.97,-6,10.88,6,1.51,0,140,71,100.8,0,0.5,0,146.4,330,0,224,1.82,0,a,29,0,1,10,0.42,2,149,149,,378,,38.2,0.8,0,3.08,,7,1.7,650,312,211,0.25,228,0.3,571287,73,1.38,0.8,159,165,0,57,25
702,Andrey Nascimento dos Santos,45,MID,Chelsea,0,307,0,0,743,0,0,312,405,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,739,0,733,0,0,u,267,0,0,0,0,0,277,311,0,738,,0,0,0,0,0,0,0,0,687,755,0,723,0,445,0,0,0,311,315,0,458,0
708,Noni Madueke,54,MID,Chelsea,0,114,0.1,0.72,281,1,0,146,20008,0.6,4.8,2,0.99,-1,13.11,1,1.85,0,182,141,130.8,0,2.5,3,131.9,300,0,242,0.9,0,a,68,0,0,13,0.23,0,46,135,,359,,44.6,3,0,1.62,,7,2.2,639,96,398,0.13,190,2.5,35271,105,1.83,0.1,145,110,0,130,26
724,Enzo Fernández,50,MID,Chelsea,0.17,163,0.15,2.64,263,0,0,83,240392,0.3,8.4,1,1.05,0,24.91,0,1.45,0,64,70,298.2,0,1.1,2,307.3,224,0,114,0.78,0,a,119,0,3,25,0.2,2,95,110,100,225,,67.1,1.7,0,3.42,100,18,2.3,1547,204,209,0.05,329,1.2,320254,265,1.45,0.8,97,99,3,212,42
771,Ethan Wady,40,GKP,Chelsea,0,47,0,0,616,0,0,56,13,0,0,0,0,0,0,0,0,0,0,84,0,0,1.1,0,0,602,0,583,0,0,a,52,0,0,0,0,0,65,73,,598,,0,0,0,0,,0,0,0,484,766,0,551,-0.5,75,0,0,0,73,73,0,685,0
775,Alfie Gilchrist,40,DEF,Chelsea,0,222,0,0,637,0,0,227,5,0,0,0,0,0,0,0,0,0,0,262,0,0,0.9,0,0,623,0,605,0,0,a,219,0,0,0,0,0,187,229,,619,,0,0,0,0,,0,0,0,507,767,0,574,-0.5,72,0,0,0,230,231,0,709,0
18,Albert Sambi Lokonga,43,MID,Crystal Palace,0.25,206,0.02,0.18,409,0,0,187,53783,0,5.3,0,0.99,-2,8.12,2,1,0,20,124,98.4,0,0,0,57.2,414,0,359,0.17,0,a,309,0,2,8,0.04,0,206,185,100,381,,17.6,0,0,0.35,100,8,1.5,728,567,356,0.02,420,0,38990,129,0.99,0.2,161,176,2,577,23
152,Vicente Guaita,44,GKP,Crystal Palace,0.22,63,0,0.01,78,0,0,72,551835,0,22.5,10,1,-1,38.2,1,1.41,0,0,23,668.4,0,0,0,0,225,3.15,638,0,0,a,19,85,1,34,0,0,78,14,100,50,,66.8,0,1,0.01,100,27,3.7,2430,572,163,0,615,0,542689,484,1.26,1.4,14,16,6,473,99
153,James Tomkins,39,DEF,Crystal Palace,0,116,0,0,441,1,0,175,197479,0,2.1,1,0.81,-1,9.99,1,2.68,1,54,76,90,0,0,0,1.1,424,0,481,0.81,0,i,236,0,1,10,0.22,0,142,151,0,394,,14.6,0,2,0.81,0,3,1.3,335,427,210,0.22,339,0,175559,50,2.69,0.8,152,155,0,731,8
154,James McArthur,48,MID,Crystal Palace,0,318,0,0,521,0,0,229,1986,0.1,0.8,0,0,-2,0.41,2,0.74,0,0,282,6.8,0,0.2,1,1.7,511,0,474,0,0,a,154,0,0,0,0,0,160,230,100,495,,0.9,0.5,0,0,100,0,1,50,339,696,0,738,0.5,1097,13,0,0,220,242,0,259,4
155,Christian Benteke,55,FWD,Crystal Palace,0,91,0,0,774,0,0,91,81273,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,774,0,774,0,0,u,38,0,0,0,0,0,88,91,0,774,,0,0,0,0,0,0,0,0,763,417,0,773,0,3358,0,0,0.1,91,91,0,104,0
156,Joel Ward,44,DEF,Crystal Palace,0.32,67,0.03,0.83,183,1,0,48,79513,1,17.7,5,0.96,-1,32.15,1,1.28,0,114,102,436.2,0,4,2,164.3,209,0,205,1.12,0,a,90,0,6,35,0.07,0,10,60,100,142,,71.6,4.2,1,1.95,100,24,2.8,2253,45,282,0.04,251,4.2,98084,403,1.4,0.4,48,62,8,475,78
157,Nathaniel Clyne,45,DEF,Crystal Palace,0.16,163,0.03,0.6,318,0,0,66,32002,0,9.8,0,1.04,0,26.26,0,1.44,0,8,152,203.6,0,0,0,124.9,348,0,250,0,0,a,59,0,3,23,0.03,0,239,123,100,302,,33.6,0,0,0.6,100,19,2,1638,609,406,0,444,0,23422,246,1.26,0.1,120,119,3,342,44
158,Luka Milivojevic,42,MID,Crystal Palace,0.36,209,0.04,0.2,443,0,0,194,95373,0,5.5,0,0.9,-3,7.8,3,1.4,0,17,112,69.2,0,0,0,43.6,432,0,375,0.34,0,i,317,0,2,7,0.1,0,196,195,0,415,2,12.7,0,0,0.54,0,5,1.3,500,535,327,0.06,427,0,58191,80,1.26,0.3,179,193,2,590,23
159,Jordan Ayew,52,MID,Crystal Palace,0.27,50,0.08,2.52,200,4,0,54,96163,0.5,20,4,1.03,-3,41.13,3,1.37,0,429,96,490.8,0,3.8,2,465.5,77,0,65,3.13,0,a,85,0,5,41,0.18,3,52,55,,118,,138.7,2.8,2,5.65,,31,2.7,2708,112,288,0.1,78,2.8,101259,332,1.36,0.4,52,77,8,156,104
160,Wilfried Zaha,72,MID,Crystal Palace,0.2,15,0.12,2.95,110,7,2,68,4227358,0.1,13.2,6,1.06,2,33.24,-2,1.31,0,848,19,465.4,0,0,0,384.8,47,0,88,6.32,0,i,16,0,5,34,0.37,2,165,34,0,131,1,169.4,0.5,0,9.27,0,27,3.5,2289,347,57,0.25,26,0,3982990,216,1.34,6.7,56,48,5,32,95
161,Jeffrey Schlupp,47,MID,Crystal Palace,0.32,74,0.04,1.11,209,3,0,96,35429,0,18.9,2,1.07,-3,37.03,3,1.32,0,314,157,404.6,0,0,0,257.6,135,0,139,2.97,0,i,180,0,7,38,0.15,2,185,84,0,162,,97.9,0.2,0,4.08,0,30,2.6,2528,393,434,0.11,115,0,26289,324,1.35,0.1,67,79,9,300,89
163,Will Hughes,48,MID,Crystal Palace,0.11,168,0.07,0.63,416,1,0,157,4082,0.8,8.5,3,0.77,-2,13.05,2,1.43,0,57,235,153.2,0,1.5,10,102.1,357,0,286,0.34,0,a,159,0,4,11,0.11,1,27,160,100,338,,31,4,0,0.97,100,7,1.5,822,53,597,0.04,336,4,2029,152,1.2,0,138,180,1,268,41
164,Jairo Riedewald,42,MID,Crystal Palace,0,221,0.02,0.01,477,0,0,224,9954,0.1,1.4,0,0,-3,0.93,3,1.4,0,4,201,9.8,0,0.2,1,2.6,500,0,466,0.04,0,a,321,0,0,0,0.08,0,156,223,,486,,1.5,0.5,0,0.05,,0,1,60,334,525,0.06,457,0.5,7021,19,0,0,217,210,0,601,6
165,Joachim Andersen,45,DEF,Crystal Palace,0.26,14,0.03,1.04,228,1,0,55,577385,0.6,17.8,1,1.04,0,36.23,0,1.17,0,273,52,641.8,0,2.2,2,146.3,113,0,225,1.87,2,a,70,0,8,37,0.09,0,36,18,100,62,,106.4,2.5,0,2.91,100,32,2.5,2782,126,151,0.06,135,2.5,483880,483,1.2,1.6,18,85,8,361,80
166,Odsonne Edouard,50,FWD,Crystal Palace,0.25,22,0.04,0.8,262,5,0,20,993269,0.6,16.4,5,1.01,-5,24.19,5,1.22,0,544,22,351.6,0,2.8,2,227.7,109,0,158,4.14,0,a,55,0,3,25,0.25,2,13,19,100,199,3,111.5,3,0,4.94,100,20,2.3,1788,95,134,0.21,54,3,877397,225,1.26,2,19,35,5,198,82
167,Marc Guéhi,45,DEF,Crystal Palace,0.24,25,0.02,0.82,206,1,0,57,591725,0.6,21.1,2,1,0,46.47,0,1.26,0,205,44,688.2,0,2.5,2,142.7,119,0,230,1.46,1,a,75,0,8,46,0.06,0,28,21,100,46,,103.9,2.8,0,2.28,100,37,2.6,3330,110,121,0.04,176,2.8,674953,623,1.24,2.5,9,74,9,368,95
168,Jean-Philippe Mateta,51,FWD,Crystal Palace,0.36,44,0.02,0.16,436,2,0,50,148283,0.1,8,3,0.72,-4,13.49,4,1.62,0,240,49,115.8,0,0.2,1,67.1,319,0,336,3.44,0,a,53,0,3,10,0.43,0,50,47,,367,,41,0.5,0,3.6,,6,1.4,748,341,308,0.41,153,0.5,101117,96,1.2,0.3,44,55,3,178,41
169,Eberechi Eze,57,MID,Crystal Palace,0.31,28,0.1,2.92,39,10,0,16,1474235,1.1,27.9,21,1.03,2,32.64,-2,1.12,0,597,11,692.8,0,8,2,800.4,25,0,19,7.25,0,a,47,0,3,35,0.35,5,4,17,,45,,208.9,6.2,4,10.17,,30,4.2,2631,9,34,0.25,45,6.2,2768543,580,1.2,12.8,19,18,9,85,159
170,Tyrick Mitchell,44,DEF,Crystal Palace,0.25,51,0.04,1.25,203,0,0,31,220180,0.7,21.1,7,1.06,-1,42.9,1,1.34,1,135,67,470.4,0,3,2,234,163,0,150,0.62,0,a,117,0,5,40,0.06,2,24,38,100,128,,84.3,3.2,1,1.87,100,34,2.6,2889,80,192,0.02,230,3.2,229971,476,1.25,1,42,73,8,516,93
171,Michael Olise,53,MID,Crystal Palace,0.26,45,0.21,6.42,92,2,0,7,416514,0.8,24.9,15,1.02,-2,37.03,2,1.21,0,462,50,606.6,0,3.8,6,1014.6,26,0,9,2.87,0,a,84,0,2,38,0.3,11,28,18,100,73,,208.8,4,2,9.29,100,31,3.6,2743,55,141,0.09,69,4,589134,517,1.25,1.8,32,40,8,154,132
172,Jesurun Rak-Sakyi,45,MID,Crystal Palace,0,274,0,0,707,0,0,282,3866,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,696,0,691,0,0,u,226,0,0,0,0,0,247,280,0,692,,0,0,0,0,0,0,0,0,642,681,0,675,0,241,0,0,0,277,291,0,398,0
173,Malcolm Ebiowei,42,MID,Crystal Palace,0,222,0.03,0.01,480,0,0,232,79156,0,0.7,0,0,-3,0.18,3,0.52,0,4,127,3.4,0,0,0,0.9,508,0,484,0,0,u,326,0,0,1,0.03,0,198,228,0,510,,0.9,0,0,0.01,0,0,1,31,545,364,0,458,0,73938,9,2.9,0.2,230,211,0,620,3
174,Nathan Ferguson,39,DEF,Crystal Palace,0,185,0,0,575,0,0,195,47339,0,0,0,0,-1,0,1,0,0,0,147,0,0,0,0,0,562,0,541,0,0,i,243,0,0,0,0,0,149,197,0,558,,0,0,0,0,0,0,0,0,439,390,0,504,0,31964,0,0,0.2,198,198,0,745,0
175,Sam Johnstone,44,GKP,Crystal Palace,0.33,64,0,0,52,0,0,73,80492,0.7,8.2,5,1,-1,8.81,1,0.98,0,0,29,155,0,2.5,3,0,420,2.89,641,0,0,a,20,26,1,10,0,0,12,27,100,336,,15.6,3,2,0,100,9,4,810,90,183,0,619,3,181676,159,1.11,1.1,27,12,3,482,36
495,Remi Matthews,40,GKP,Crystal Palace,0,37,0,0,594,0,0,46,2895,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,581,0,562,0,0,u,42,0,0,0,0,0,55,63,0,577,,0,0,0,0,0,0,0,0,459,646,0,527,0,0,0,0,0,63,63,0,659,0
496,Luke Plange,45,FWD,Crystal Palace,0,74,0,0,706,0,0,75,136686,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,695,0,690,0,0,u,72,0,0,0,0,0,66,76,0,691,,0,0,0,0,0,0,0,0,641,351,0,674,0,18888,0,0,0.2,75,76,0,397,0
514,Cheick Doucouré,50,MID,Crystal Palace,0.23,123,0.04,1.22,280,0,0,76,29366,0.4,14.8,3,1.1,0,40.18,0,1.31,1,157,159,471.4,0,2.2,2,345.8,136,0,102,1.45,0,a,117,0,8,41,0.09,3,68,85,100,126,,97.6,2.2,0,2.67,100,34,2.2,2770,147,439,0.05,210,2.2,23178,411,1.33,0.1,55,109,7,210,74
